city,lng_min,lng_max
Głogów,16.08,16.17
Glonn,11.86,12.03
Gloria,121.46,121.53
Glória do Goitá,-35.29,-35.2
Glorinha,-50.76,-50.64
Glossop,-1.94,-1.92
Gloucester,-75.03,-74.94
Gloucester City,-75.11,-75.01
Gloucester Point,-76.5,-76.38
Gloversville,-74.34,-74.14
Głubczyce,17.83,17.88
Głuchołazy,17.37,17.37
Glücksburg,9.55,9.68
Glückstadt,9.42,9.45
Głuszyca,16.37,16.47
Glyfáda,23.75,23.83
Glyncorrwg,-3.62,-3.61
Gmünd,14.98,15.0
Gmund am Tegernsee,11.73,11.82
Gmunden,13.79,13.84
Gnarrenburg,9.0,9.09
Gnas,15.82,15.98
Gniew,18.83,18.98
Gniezno,17.6,17.7
Goa,123.5,123.58
Goaso,-2.51,-2.46
Goba,39.97,40.08
Gobabis,18.96,19.13
Gobernador Gálvez,-60.63,-60.46
Gobernador Gregores,-70.24,-70.12
Goch,6.16,6.23
Gochsheim,10.28,10.43
Göd,19.13,19.3
Godalming,-0.61,-0.56
Godāwari̇̄,80.57,80.58
Godē,43.45,43.45
Godega di Sant’Urbano,12.39,12.5
Goderich,-81.7,-81.55
Godfrey,-90.21,-90.06
Godhavn,-53.53,-53.33
Godhra,73.61,73.8
Godmanchester,-0.17,-0.07
Gōdo,136.6,136.77
Gödöllő,19.36,19.52
Godoy Cruz,-68.83,-68.65
Godstone,-0.06,0.12
Goes,3.88,3.92
Goffs Oak,-0.08,0.11
Goffstown,-71.56,-71.49
Gogolin,18.02,18.19
Gogrial,28.11,28.19
Goiana,-35.0,-34.99
Goianápolis,-49.02,-49.0
Goiandira,-48.08,-48.06
Goianésia,-49.11,-48.94
Goiânia,-49.25,-49.09
Goianinha,-35.21,-35.16
Goianira,-49.42,-49.31
Goianorte,-48.93,-48.89
Goiás,-50.14,-49.95
Goiatins,-47.31,-47.11
Goiatuba,-49.35,-49.25
Goio-Erê,-53.02,-52.87
Goioxim,-51.99,-51.98
Goirle,5.06,5.12
Goito,10.66,10.75
Gójar,-3.6,-3.5
Gojō,135.69,135.82
Gojra,72.68,72.74
Gökçebey,32.14,32.24
Golbey,6.43,6.43
Golborne,-2.59,-2.46
Golcar,-1.84,-1.78
Gölcük,29.83,29.98
Goldach,9.46,9.5
Gołdap,22.3,22.41
Goldasht,51.43,51.55
Goldbach,9.18,9.36
Gold Canyon,-111.43,-111.39
Gold Coast,153.4,153.41
Golden,-105.21,-105.06
Golden Gate,-81.7,-81.51
Golden Glades,-80.2,-80.13
Golden Hills,-118.5,-118.49
Goldenrod,-81.29,-81.26
Goldenstedt,8.41,8.59
Golden Valley,-93.35,-93.16
Gold River,-121.24,-121.22
Goldsboro,-77.97,-77.81
Golegã,-8.48,-8.31
Goleniów,14.82,14.93
Goleta,-119.85,-119.82
Golfito,-83.15,-83.05
Golitsyno,36.98,37.0
Golmeh,46.59,46.75
Golmud,94.9,95.08
Golpāyegān,50.28,50.44
Golubac,21.63,21.78
Golub-Dobrzyń,19.05,19.16
Golyshmanovo,68.37,68.38
Goma,29.23,29.38
Gomaringen,9.09,9.12
Gombe,11.17,11.2
Gómez Farías,-107.73,-107.72
Gómez Palacio,-103.49,-103.34
Gommern,11.82,11.99
Gommiswald,9.04,9.09
Gonaïves,-72.68,-72.61
Gonbad-e Kāvūs,55.16,55.3
Gonder,37.46,37.54
Gondomar,-8.53,-8.41
Gonesse,2.44,2.56
Gonfreville-l’Orcher,0.23,0.26
Gonglang,100.31,100.42
Gongogi,-39.46,-39.32
Gongzhuling,124.8,124.94
Gonnosfanàdiga,8.66,8.74
Gonzaga,122.0,122.19
Gonzales,-90.92,-90.86
Gonzalez,-87.29,-87.16
González,-98.43,-98.29
González Catán,-58.64,-58.45
Good Hope,-117.27,-117.23
Goodlettsville,-86.7,-86.52
Goodmayes,0.11,0.17
Goodrich,-83.5,-83.41
Goodyear,-112.36,-112.17
Gooik,4.11,4.23
Goole,-0.86,-0.81
Goondiwindi,150.3,150.43
Goonellabah,153.31,153.33
Goor,6.58,6.67
Goose Creek,-80.0,-79.89
Göppingen,9.65,9.81
Góra,16.55,16.73
Gorakhpur,83.36,83.45
Goranboy,46.78,46.92
Goražde,18.97,19.13
Gordonvale,145.78,145.86
Gorē,35.53,35.63
Gorebridge,-3.05,-2.94
Gorenja Vas,14.14,14.21
Gorgān,54.48,54.61
Gorgonzola,9.4,9.47
Gorham,-70.45,-70.44
Gori,44.11,44.18
Gorinchem,4.97,5.07
Goring by Sea,-0.42,-0.23
Goris,46.34,46.48
Gorišnica,16.01,16.19
Gorizia,13.61,13.79
Gorle,9.71,9.72
Gorleston-on-Sea,1.72,1.88
Gorlice,21.16,21.22
Görlitz,14.98,15.04
Górliz-Elexalde,-2.93,-2.81
Gornalwood,-2.12,-2.04
Gorna Oryahovitsa,25.68,25.76
Gornja Radgona,15.98,16.13
Gornji Grad,14.8,14.84
Gornji Milanovac,20.45,20.62
Gornji Petrovci,16.22,16.29
Gorno-Altaysk,85.96,86.1
Gornozavodsk,58.31,58.31
Gornyak,81.46,81.51
Gorodets,43.47,43.53
Gorodishche,45.7,45.87
Gorodovikovsk,41.93,42.11
Goroka,145.38,145.41
Gorokhovets,42.69,42.69
Gorom-Gorom,-0.23,-0.17
Gorontalo,123.05,123.11
Gorssel,6.2,6.39
Goryachiy Klyuch,39.13,39.26
Gorzów Wielkopolski,15.25,15.33
Gosforth,-1.62,-1.48
Goshen,-85.83,-85.77
Goslar,10.42,10.56
Gospić,15.37,15.55
Gosport,-1.12,-0.93
Gossau,9.25,9.27
Gossolengo,9.61,9.79
Gostivar,20.91,20.96
Gostyń,17.01,17.12
Gostynin,19.46,19.65
Gotenba,138.93,138.99
Gotha,10.71,10.76
Gothenburg,11.98,12.12
Gotse Delchev,23.72,23.79
Göttingen,9.93,9.94
Gottmadingen,8.77,8.82
Gottolengo,10.27,10.44
Götzis,9.64,9.67
Gouda,4.7,4.86
Gouesnou,-4.46,-4.29
Goulburn,149.61,149.8
Goulds,-80.38,-80.18
Goulmima,-4.95,-4.81
Goundam,-3.66,-3.65
Gouré,10.27,10.33
Gournay-en-Bray,1.72,1.9
Gournay-sur-Marne,2.57,2.73
Gourock,-4.81,-4.68
Gourrama,-4.07,-3.96
Goussainville,2.47,2.65
Gouvêa,-43.74,-43.58
Gouveia,-7.6,-7.54
Gouverneur,-75.48,-75.39
Gouvieux,2.41,2.58
Gouvy,5.94,6.13
Govan,-4.3,-4.18
Governador Archer,-44.27,-44.08
Governador Celso Ramos,-48.55,-48.39
Governador Dix-Sept Rosado,-37.52,-37.41
Governador Lindenberg,-40.46,-40.28
Governador Valadares,-41.94,-41.76
Gowanda,-78.93,-78.84
Gowerton,-4.04,-3.9
Goya,-59.25,-59.16
Goyang,126.83,126.92
Göyçay,47.73,47.91
Göygöl,46.32,46.45
Göytəpə,48.59,48.77
Goyty,45.62,45.78
Goz-Beida,21.41,21.6
Gozzano,8.43,8.43
Graaff-Reinet,24.54,24.55
Grabels,3.8,3.9
Graben-Neudorf,8.48,8.54
Grabovo,45.06,45.19
Grabow,11.55,11.65
Grabs,9.44,9.54
Graça,-40.75,-40.64
Graça Aranha,-44.33,-44.26
Graçanicë,21.2,21.28
Gracemere,150.44,150.58
Gracho Cardoso,-37.19,-37.14
Gracias,-88.58,-88.41
Grad,16.1,16.26
Gradignan,-0.61,-0.42
Gradisca d’Isonzo,13.5,13.5
Grado,-6.07,-5.89
Gradsko,21.94,22.05
Gräfelfing,11.42,11.51
Grafenau,13.39,13.42
Gräfenhainichen,12.45,12.57
Grafenwöhr,11.9,11.96
Grafing bei München,11.96,12.12
Grafton,152.93,152.95
Gragnano,14.51,14.68
Graham,-122.27,-122.2
Grahamstown,26.52,26.7
Grain Valley,-94.2,-94.12
Grajales,-97.78,-97.61
Grajaú,-46.13,-46.04
Grajewo,22.45,22.56
Gramado,-50.87,-50.79
Gramastetten,14.19,14.21
Grambling,-92.71,-92.69
Gramercy,-90.69,-90.54
Grammichele,14.63,14.8
Gramsbergen,6.67,6.8
Gramsh,20.18,20.29
Gran,10.49,10.65
Granada,-3.6,-3.49
Granadero Baigorria,-60.7,-60.62
Granadilla de Abona,-16.58,-16.56
Granarolo del l’Emilia,11.44,11.53
Granbury,-97.76,-97.71
Granby,-72.73,-72.56
Grand-Bassam,-3.73,-3.58
Grand Blanc,-83.61,-83.6
Grand-Champ,-2.84,-2.66
Grandchamps-des-Fontaines,-1.6,-1.56
Grand-Charmont,6.82,7.01
Grand-Couronne,1.0,1.05
Grande Prairie,-118.79,-118.78
Grandes Rios,-51.5,-51.35
Grande-Synthe,2.3,2.41
Grand Falls,-55.66,-55.6
Grand Forks,-97.08,-97.03
Grand-Fort-Philippe,2.1,2.26
Grand Haven,-86.22,-86.2
Grand Island,-98.35,-98.24
Grand Junction,-108.56,-108.4
Grand Ledge,-84.74,-84.69
Grand Prairie,-97.02,-96.82
Grand Rapids,-85.65,-85.56
Grand Terrace,-117.31,-117.11
Grand Turk,-71.13,-71.11
Grandview,-94.52,-94.36
Grandview Heights,-83.04,-82.99
Grandville,-85.75,-85.72
Grandwood Park,-87.98,-87.92
Grangemouth,-3.71,-3.66
Granger,-86.13,-86.11
Grangetown,-1.14,-1.05
Gränichen,8.09,8.21
Granite Bay,-121.17,-121.11
Granite City,-90.12,-89.97
Granite Falls,-121.97,-121.88
Granite Shoals,-98.37,-98.19
Granito,-39.61,-39.51
Granja,-40.82,-40.67
Granollers,2.28,2.31
Grans,5.06,5.07
Gransee,13.15,13.24
Grantham,-0.63,-0.48
Grants,-107.83,-107.64
Grants Pass,-123.33,-123.15
Grantsville,-112.47,-112.27
Granville,-1.58,-1.55
Grão Mogol,-42.89,-42.73
Grão Pará,-49.21,-49.05
Grapevine,-97.07,-96.92
Grasberg,8.98,9.07
Grasbrunn,11.74,11.82
Grassano,16.28,16.34
Grassau,12.45,12.58
Grasse,6.91,7.09
Grass Valley,-121.05,-120.94
Gratkorn,15.33,15.41
Graulhet,1.98,2.0
Gravatá,-35.56,-35.45
Gravataí,-50.99,-50.88
Gravatal,-49.03,-48.95
Grave,5.73,5.91
Gravelines,2.12,2.23
Gravellona Toce,8.43,8.47
Gravenhurst,-79.36,-79.3
Grävenwiesbach,8.45,8.56
Gravesend,0.36,0.44
Gravina in Puglia,16.42,16.5
Gray,-70.34,-70.27
Grays,0.33,0.34
Grayslake,-88.03,-87.9
Grayson,-82.93,-82.82
Grayson Valley,-86.64,-86.53
Grayvoron,35.66,35.81
Graz,15.44,15.5
Grazzanise,14.1,14.21
Great Baddow,0.5,0.61
Great Barrington,-73.34,-73.2
Great Bend,-98.8,-98.74
Great Billing,-0.82,-0.62
Great Bookham,-0.37,-0.3
Great Burstead,0.44,0.56
Great Chart,0.83,0.88
Great Cornard,0.74,0.79
Great Driffield,-0.43,-0.23
Great Dunmow,0.36,0.5
Greater Napanee,-76.95,-76.9
Great Falls,-111.29,-111.13
Great Harwood,-2.4,-2.22
Great Linford,-0.76,-0.58
Great Meols,-3.15,-3.03
Great Missenden,-0.7,-0.57
Great Neck,-73.73,-73.7
Great Neck Plaza,-73.72,-73.64
Great Sankey,-2.63,-2.5
Great Wakering,0.81,0.95
Great Warley Street,0.3,0.32
Great Wyrley,-2.01,-1.87
Great Yarmouth,1.72,1.87
Grebenstein,9.41,9.57
Greci,28.23,28.24
Greece,-77.69,-77.65
Greeley,-104.77,-104.59
Green,-81.47,-81.39
Greenacres,-80.13,-80.0
Green Bay,-87.98,-87.82
Greenbelt,-76.88,-76.82
Greenbriar,-77.39,-77.38
Greenbrier,-86.79,-86.68
Green Brook,-74.48,-74.28
Greenburgh,-73.84,-73.69
Greencastle,-86.84,-86.67
Green Cove Springs,-81.68,-81.57
Greendale,-88.0,-87.91
Greene,-77.56,-77.43
Greeneville,-82.81,-82.65
Greenfield,-121.24,-121.15
Greenford,-0.34,-0.15
Greenhill,1.1,1.29
Green Hill,-86.57,-86.38
Green Knoll,-74.61,-74.57
Greenlawn,-73.36,-73.19
Greenock,-4.76,-4.58
Green River,-109.47,-109.34
Greensboro,-79.82,-79.77
Greensburg,-79.54,-79.53
Greentree,-74.96,-74.87
Green Valley,-111.01,-110.88
Greenville,-82.36,-82.28
Greenwich,-73.63,-73.51
Greenwood,-86.1,-85.94
Greenwood Village,-104.91,-104.74
Greer,-82.23,-82.04
Greetland,-1.87,-1.68
Grefrath,6.34,6.47
Greifensee,8.67,8.86
Greifenstein,8.24,8.3
Greifswald,13.38,13.56
Greiz,12.19,12.23
Gremyachinsk,57.83,57.99
Grenada,-89.81,-89.79
Grenade,1.29,1.31
Grenay,2.74,2.9
Grenchen,7.39,7.4
Grenoble,5.72,5.88
Grenzach-Wyhlen,7.65,7.84
Gresford,-2.96,-2.87
Gresham,-122.44,-122.24
Gresham Park,-84.31,-84.15
Gretna,-90.05,-89.88
Gretz-Armainvilliers,2.73,2.81
Greven,7.6,7.78
Grevenbroich,6.58,6.7
Grevenmacher,6.44,6.61
Grevesmühlen,11.16,11.22
Grey Highlands,-80.5,-80.37
Greymouth,171.2,171.34
Greytown,-83.7,-83.55
Grez-Doiceau,4.7,4.75
Grézieu-la-Varenne,4.69,4.75
Grezzana,11.01,11.08
Gricignano d’Aversa,14.23,14.41
Gridley,-121.69,-121.62
Griesheim,8.55,8.58
Grieskirchen,13.83,13.85
Griffin,-84.27,-84.2
Griffith,146.04,146.07
Griffithstown,-3.02,-2.94
Grigiškės,25.09,25.1
Grigny,2.38,2.38
Grigor’evka,77.47,77.6
Grigoriopol,29.29,29.31
Grimes,-93.79,-93.73
Grimma,12.72,12.85
Grimmen,13.04,13.22
Grimsby,-0.06,0.11
Grimstad,8.59,8.59
Grinnell,-92.72,-92.62
Griswold,-71.92,-71.87
Groaíras,-40.38,-40.36
Grobbendonk,4.73,4.92
Gröbenzell,11.36,11.49
Grobiņa,21.16,21.32
Grödig,13.03,13.05
Gröditz,13.44,13.57
Grodzisk Mazowiecki,20.63,20.78
Grodzisk Wielkopolski,16.36,16.52
Groenlo,6.61,6.63
Groesbeck,-84.59,-84.53
Groesbeek,5.93,5.99
Groitzsch,12.28,12.34
Grójec,20.86,20.89
Grömitz,10.95,11.06
Gronau,7.04,7.13
Groningen,6.56,6.63
Grootfontein,18.1,18.14
Groot-Valkenisse,3.51,3.52
Gros Islet,-60.95,-60.88
Groslay,2.34,2.38
Großaitingen,10.78,10.95
Großalmerode,9.78,9.86
Großbeeren,13.3,13.42
Großbottwar,9.29,9.39
Großbreitenbach,11.01,11.14
Großburgwedel,9.85,9.97
Großenhain,13.55,13.65
Großenkneten,8.26,8.35
Großenlüder,9.54,9.6
Groß-Enzersdorf,16.55,16.71
Grosse Pointe,-82.91,-82.83
Grosse Pointe Farms,-82.89,-82.78
Grosse Pointe Park,-82.92,-82.75
Grosse Pointe Woods,-82.89,-82.78
Grosseto,11.1,11.26
Groß-Gerau,8.48,8.65
Großhansdorf,10.26,10.29
Großheubach,9.23,9.35
Großkarolinenfeld,12.07,12.2
Groß Kreutz,12.78,12.79
Großkrotzenburg,8.98,9.06
Großmehring,11.53,11.63
Grossos,-37.15,-37.14
Großostheim,9.08,9.2
Großpösna,12.5,12.58
Großräschen,14.0,14.1
Großröhrsdorf,14.01,14.2
Großrosseln,6.84,6.98
Großschirma,13.27,13.37
Großschönau,14.66,14.72
Groß-Umstadt,8.92,9.02
Groß-Zimmern,8.83,8.85
Grosuplje,14.65,14.73
Groton,-72.02,-71.91
Grottaferrata,12.66,12.71
Grottaglie,17.43,17.46
Grottaminarda,15.05,15.17
Grottammare,13.86,13.88
Grotte,13.7,13.82
Grove,-8.86,-8.76
Grove City,-83.06,-82.86
Groveland,-81.82,-81.69
Groveport,-82.89,-82.77
Grover Beach,-120.61,-120.49
Groves,-93.91,-93.71
Groveton,-77.09,-77.0
Grovetown,-82.2,-82.02
Groznyy,45.69,45.86
Grubbenvorst,6.14,6.22
Grudziądz,18.77,18.85
Grugliasco,7.57,7.63
Gruissan,3.08,3.27
Grumello del Monte,9.86,9.99
Grumo Appula,16.7,16.7
Grumo Nevano,14.26,14.27
Grünberg,8.94,8.96
Grünheide,13.81,13.9
Grünstadt,8.16,8.24
Grünwald,11.53,11.66
Gryazi,39.93,39.96
Gryazovets,40.25,40.29
Grybów,20.94,21.08
Gryfice,15.2,15.25
Gryfino,14.48,14.54
Gryfów Śląski,15.41,15.42
Grytviken,-36.5,-36.49
Gtarna,-7.92,-7.72
Guabiruba,-48.98,-48.85
Guabito,-82.61,-82.59
Guacara,-67.87,-67.7
Guacarí,-76.33,-76.13
Guacharachi,-107.31,-107.11
Guachavés,-77.67,-77.49
Guachochi,-107.07,-106.98
Guadalajara,-103.34,-103.14
Guadalajara de Buga,-76.29,-76.17
Guadalupe,-100.25,-100.23
Guadalupe Victoria,-97.33,-97.13
Guadalupe Yancuictlalpan,-99.45,-99.41
Guadalupe y Calvo,-106.96,-106.94
Guadarrama,-4.08,-3.95
Guadasuar,-0.47,-0.42
Guadix,-3.13,-2.98
Guaduas,-74.59,-74.46
Guagnano,17.95,17.97
Guagua,120.63,120.79
Guaíba,-51.32,-51.3
Guaiçara,-49.79,-49.73
Guaimbê,-49.89,-49.71
Guaíra,-54.25,-54.12
Guairaçá,-52.68,-52.59
Guaiuba,-38.63,-38.59
Guajará-Mirim,-65.33,-65.19
Guajeru,-41.94,-41.87
Gualán,-89.36,-89.21
Gualchos,-3.38,-3.33
Gualdo Cattaneo,12.55,12.58
Gualdo Tadino,12.78,12.83
Gualeguay,-59.31,-59.17
Gualeguaychú,-58.51,-58.45
Gualtieri,10.63,10.66
Guamá Abajo,-76.41,-76.27
Guamal,-74.22,-74.02
Guamaré,-36.32,-36.15
Guambog,125.85,125.98
Guamiranga,-50.8,-50.68
Guamo,-74.97,-74.9
Guamúchil,-108.07,-108.04
Guanagazapa,-90.65,-90.46
Guanajay,-82.68,-82.55
Guanajuato,-101.25,-101.24
Guanambi,-42.78,-42.61
Guananico,-70.92,-70.77
Guanare,-69.74,-69.65
Guane,-84.08,-84.01
Guang’an,106.63,106.73
Guangming,122.77,122.95
Guangping,114.94,115.07
Guangshui,113.82,113.83
Guangyuan,105.83,105.83
Guangzhou,113.25,113.36
Guanhães,-42.93,-42.79
Guánica,-66.93,-66.9
Guankou,113.62,113.73
Guantánamo,-75.2,-75.05
Guantiankan,106.61,106.71
Guantingzhan,115.57,115.76
Guanzhai,105.3,105.45
Guanzhuang,109.93,109.93
Guapé,-45.91,-45.87
Guapí,-77.86,-77.78
Guapiaçu,-49.22,-49.14
Guapiara,-48.53,-48.37
Guapimirim,-42.98,-42.87
Guapó,-49.53,-49.5
Guapuã,-47.42,-47.26
Guará,-47.82,-47.79
Guarabira,-35.49,-35.3
Guaraçaí,-51.2,-51.07
Guaraci,-48.94,-48.86
Guaraciaba do Norte,-40.74,-40.55
Guaraí,-48.51,-48.43
Guaramiranga,-38.93,-38.75
Guaramirim,-49.0,-48.96
Guaranda,-79.0,-78.92
Guaranésia,-46.8,-46.61
Guaraniaçu,-52.87,-52.75
Guarani das Missões,-54.55,-54.36
Guarantã,-49.58,-49.44
Guarapari,-40.51,-40.34
Guarapuava,-51.45,-51.42
Guaraqueçaba,-48.32,-48.3
Guararapes,-50.64,-50.44
Guararema,-46.03,-45.87
Guaratinguetá,-45.22,-45.18
Guaratuba,-48.57,-48.41
Guarda,-7.26,-7.2
Guardamar del Segura,-0.65,-0.47
Guarda Mor,-47.09,-47.06
Guardiagrele,14.22,14.39
Guardo,-4.83,-4.7
Guareí,-48.18,-48.16
Guareña,-6.08,-5.91
Guarenas,-66.53,-66.41
Guariba,-48.22,-48.2
Guarne,-75.44,-75.36
Guarujá,-46.25,-46.09
Guarulhos,-46.53,-46.43
Guasave,-108.47,-108.4
Guasavito,-108.47,-108.3
Guasca,-73.87,-73.71
Guasdualito,-70.72,-70.68
Guastalla,10.65,10.68
Guastatoya,-90.06,-89.97
Guatapará,-48.03,-47.98
Guatapé,-75.15,-75.04
Guatavita,-73.83,-73.81
Guatemala City,-90.52,-90.49
Guatire,-66.54,-66.34
Guaxupé,-46.71,-46.57
Guayabal,-74.88,-74.77
Guayama,-66.11,-66.03
Guayaquil,-79.88,-79.72
Guayaramerín,-65.35,-65.34
Guaymango,-89.83,-89.63
Guaynabo,-66.11,-66.04
Guazacapán,-90.41,-90.33
Guazhoucun,95.67,95.85
Gubakha,57.58,57.72
Gubat,124.11,124.11
Gubbio,12.57,12.76
Gubden,47.56,47.58
Guben,14.71,14.89
Gubin,14.73,14.77
Gubkin,37.54,37.54
Gubkinskiy,76.5,76.55
Gucheng,105.2,105.32
Gudensberg,9.35,9.36
Gudermes,46.1,46.28
Guding,107.47,107.6
Gudivāda,80.98,80.99
Gudja,14.5,14.66
Gudofredo Viana,-45.78,-45.58
Guebwiller,7.21,7.36
Guéckédou,-10.13,-10.04
Guelma,7.42,7.46
Guelmim,-10.06,-9.86
Guelph,-80.25,-80.12
Guelph/Eramosa,-80.22,-80.13
Guémené-Penfao,-1.83,-1.71
Guénange,6.19,6.34
Güeñes,-3.09,-2.94
Guenfouda,-2.04,-1.95
Güeppí,-75.23,-75.13
Guer,-2.12,-2.07
Guérande,-2.42,-2.31
Guercif,-3.36,-3.33
Guéret,1.86,1.87
Guerneville,-122.98,-122.97
Guernica y Luno,-2.66,-2.6
Guerrero,-107.48,-107.42
Guerrero Negro,-114.05,-113.96
Gueugnon,4.06,4.11
Gueznaia,-5.89,-5.77
Gugark,44.53,44.66
Gūged,50.35,50.51
Gugeşti,27.12,27.27
Güglingen,9.0,9.12
Guglionesi,14.91,14.99
Guia,-15.63,-15.45
Guía de Isora,-16.77,-16.7
Guia Lopes,-46.36,-46.27
Güicán,-72.41,-72.33
Guichen,-1.79,-1.64
Guichón,-57.2,-57.18
Guidan Roumdji,6.69,6.74
Guidel,-3.48,-3.38
Guider,13.94,14.02
Guidizzolo,10.58,10.63
Guidoval,-42.79,-42.66
Guigang,109.6,109.72
Guiglo,-7.49,-7.37
Guiguinto,120.88,121.05
Guihulñgan,123.26,123.33
Guilderland,-73.96,-73.79
Guildford,-0.57,-0.49
Guilers,-4.55,-4.37
Guilford,-72.7,-72.63
Guilherand,4.87,5.0
Guilin,110.28,110.46
Güimar,-16.41,-16.29
Guimarães,-8.29,-8.22
Guimarânia,-46.79,-46.76
Guimba,120.76,120.91
Guimbal,122.31,122.42
Guinayangan,122.45,122.46
Guindulman,124.48,124.62
Güines,-82.02,-81.89
Guînes,1.87,1.87
Guingamp,-3.15,-3.0
Guinisiliban,124.78,124.81
Guinobatan,123.6,123.74
Guipavas,-4.4,-4.31
Guiping,110.08,110.2
Guipos,123.31,123.42
Güira de Melena,-82.5,-82.37
Guiratinga,-53.75,-53.65
Guiricema,-42.71,-42.51
Guisborough,-1.05,-1.04
Guiseley,-1.7,-1.51
Guisona,1.28,1.33
Guitiriz,-7.89,-7.76
Guiuan,125.73,125.84
Guixi,117.2,117.34
Guiyang,106.7,106.7
Gujan-Mestras,-1.06,-1.01
Gujiao,112.17,112.3
Gujō,136.96,137.07
Gujranwala,74.18,74.29
Gujrat,74.07,74.18
Gukovo,39.93,40.1
Gulariyā,81.33,81.45
Gulbarga,76.83,76.91
Gulbene,26.75,26.79
Gulf Breeze,-87.17,-87.06
Gulf Gate Estates,-82.5,-82.38
Gulf Hills,-88.81,-88.73
Gulf Park Estates,-88.75,-88.65
Gulfport,-89.07,-89.06
Gulf Shores,-87.7,-87.52
Guli,120.02,120.16
Guliston,68.78,68.85
Gulkevichi,40.69,40.85
Gulu,32.3,32.33
Guma,78.27,78.32
Gumaca,122.1,122.1
Gummersbach,7.56,7.65
Gümüşhane,39.47,39.61
Gunbarrel,-105.17,-105.02
Gun Barrel City,-96.12,-96.09
Gundelfingen,7.86,8.01
Gundelsheim,9.16,9.33
Gunnedah,150.25,150.25
Gunnison,-106.92,-106.73
Gunskirchen,13.94,14.03
Guntakal,77.38,77.49
Guntersville,-86.26,-86.21
Guntramsdorf,16.31,16.34
Guntūr,80.45,80.49
Gunungsitoli,97.56,97.74
Günzburg,10.27,10.35
Gunzenhausen,10.75,10.8
Guotang,115.92,116.06
Guozhen,107.2,107.36
Gurabo,-65.97,-65.95
Gura Humorului,25.88,25.9
Gurgaon,77.02,77.06
Guri,127.14,127.25
Gurinhatã,-49.78,-49.62
Gurjaani,45.8,45.86
Gurnee,-87.93,-87.83
Gürpınar,43.41,43.44
Gurupá,-51.64,-51.55
Gurupi,-49.06,-49.0
Guryevsk,85.93,86.11
Gusau,6.66,6.66
Gusev,22.19,22.2
Gusinje,19.83,19.86
Gusinoozërsk,106.51,106.63
Gus’-Khrustal’nyy,40.65,40.84
Guspini,8.62,8.75
Gussago,10.15,10.33
Gustavia,-62.85,-62.82
Gustine,-120.99,-120.88
Güstrow,12.17,12.32
Gutalac,122.4,122.44
Gutao,112.17,112.24
Gütersloh,8.38,8.39
Guthrie,-97.43,-97.37
Guttenberg,-74.0,-73.87
Guwāhāti,91.76,91.89
Guxhagen,9.48,9.64
Guyancourt,2.07,2.24
Guying,114.55,114.66
Guymon,-101.47,-101.46
Guyuan,106.27,106.38
Guzhou,108.52,108.66
Guzolândia,-50.66,-50.53
G‘uzor,66.24,66.43
Gvardeysk,21.06,21.12
Gwadar,62.32,62.46
Gwalior,78.19,78.19
Gwanda,29.02,29.14
Gwangju,126.91,126.93
Gwangmyeongni,126.86,126.98
Gwangyang,127.7,127.86
Gweru,29.82,29.84
Gweta,25.25,25.32
Gyál,19.21,19.28
Gyangzê,89.59,89.66
Gyda,78.46,78.6
Gyêgu,96.73,96.83
Gyeongsan,128.73,128.84
Gympie,152.66,152.79
Gyōda,139.45,139.59
Gyomaendrőd,20.82,20.94
Gyömrő,19.39,19.44
Gyöngyös,19.93,20.12
Győr,17.63,17.67
Győrújbarát,17.64,17.71
Gypsum,-106.93,-106.88
Gyula,21.28,21.45
Gyümai,99.65,99.78
Gyumri,43.83,43.98
Gżira,14.49,14.54
Haa,89.29,89.45
Haag,14.56,14.58
Haag in Oberbayern,12.17,12.34
Haan,7.01,7.13
Haapajärvi,25.31,25.45
Haapavesi,25.36,25.54
Haapsalu,23.53,23.66
Haar,11.73,11.89
Haaren,5.22,5.29
Haarlem,4.64,4.78
Habay-la-Vieille,5.64,5.66
Habikino,135.6,135.65
Habo,14.08,14.11
Hābra,88.63,88.76
Hachenburg,7.82,8.0
Hachimanchō,141.54,141.72
Hachimantai,141.09,141.19
Hachiōji,139.31,139.46
Hachirougata,140.07,140.09
Hacienda Heights,-117.97,-117.79
Hacıqabul,48.93,48.94
Hacı Zeynalabdin,49.55,49.55
Hackensack,-74.04,-74.03
Hackettstown,-74.82,-74.64
Hackney,-0.02,0.14
Hadamar,8.05,8.16
Haddada,-6.51,-6.48
Haddam,-72.54,-72.5
Haddington,-2.77,-2.62
Haddon,-75.06,-75.02
Haddonfield,-75.03,-74.98
Haddon Heights,-75.06,-74.94
Had Dra,-9.53,-9.4
Hadera,34.91,35.01
Hadfield,-1.97,-1.82
Ḩadībū,54.02,54.18
Hādīshahr,45.66,45.74
Had Kourt,-5.73,-5.57
Had Laaounate,-8.22,-8.04
Hadleigh,0.6,0.76
Hadley,-72.56,-72.37
Had Zraqtane,-7.4,-7.24
Haedo,-58.6,-58.54
Haeju,125.71,125.78
Haelen,5.95,5.98
Hafendorf,15.31,15.46
Hafnarfjörður,-21.95,-21.84
Ḩafr al Bāţin,45.96,46.06
Hagåtña,144.75,144.76
Hage,7.28,7.36
Hagen,7.47,7.54
Hagenbach,8.24,8.43
Hägendorf,7.84,7.98
Hagen im Bremischen,8.64,8.73
Hagenow,11.19,11.2
Hāgere Hiywet,37.85,37.98
